year,month,fuel_type,count
2019,4,Diesel,7395
2019,4,Diesel Hybrid,115
2019,4,PHEV,1705
2019,4,Petrol,17943
2019,5,BEV,686
2019,5,CNG,165
2019,5,Diesel,7518
2019,5,Diesel Hybrid,199
2019,5,Hydrogen,9
2019,5,LPG,1
2019,5,PHEV,1924
2019,5,Petrol,17712
2019,6,BEV,1152
2019,6,CNG,143
2019,6,Diesel,7552
2019,6,Diesel Hybrid,291
2019,6,Hydrogen,3
2019,6,PHEV,1726
2019,6,Petrol,17537
2019,7,BEV,688
2019,7,CNG,101
2019,7,Diesel,6451
2019,7,Diesel Hybrid,462
2019,7,Hydrogen,2
2019,7,PHEV,1687
2019,7,Petrol,15832
2019,8,BEV,626
2019,8,CNG,119
2019,8,Diesel,4905
2019,8,Diesel Hybrid,308
2019,8,Hydrogen,2
2019,8,PHEV,1580
2019,8,Petrol,11986
2019,9,BEV,1582
2019,9,CNG,153
2019,9,Diesel,5336
2019,9,Diesel Hybrid,423
2019,9,Hydrogen,4
2019,9,LPG,1
2019,9,PHEV,1798
2019,9,Petrol,14926
2019,10,BEV,666
2019,10,CNG,161
2019,10,Diesel,6232
2019,10,Diesel Hybrid,506
2019,10,Hydrogen,4
2019,10,PHEV,2121
2019,10,Petrol,16345
2019,11,BEV,787
2019,11,CNG,126
2019,11,Diesel,5702
2019,11,Diesel Hybrid,423
2019,11,PHEV,2278
2019,11,Petrol,14906
2019,12,BEV,2843
2019,12,CNG,74
2019,12,Diesel,7772
2019,12,Diesel Hybrid,652
2019,12,LPG,2
2019,12,PHEV,3722
2019,12,Petrol,19588
2020,1,BEV,792
2020,1,CNG,149
2020,1,Diesel,4861
2020,1,Diesel Hybrid,409
2020,1,Hydrogen,10
2020,1,PHEV,2313
2020,1,Petrol,10422
2020,2,BEV,785
2020,2,CNG,48
2020,2,Diesel,4768
2020,2,Diesel Hybrid,333
2020,2,Hydrogen,5
2020,2,PHEV,2482
2020,2,Petrol,10749
2020,3,BEV,1593
2020,3,CNG,61
2020,3,Diesel,4073
2020,3,Diesel Hybrid,332
2020,3,Hydrogen,1
2020,3,PHEV,2541
2020,3,Petrol,9159
2020,4,BEV,500
2020,4,CNG,23
2020,4,Diesel,2305
2020,4,Diesel Hybrid,170
2020,4,Hydrogen,1
2020,4,LPG,1
2020,4,PHEV,1275
2020,4,Petrol,5007
2020,5,BEV,688
2020,5,CNG,21
2020,5,Diesel,2769
2020,5,Diesel Hybrid,226
2020,5,Hydrogen,2
2020,5,PHEV,2172
2020,5,Petrol,8036
2020,6,BEV,1366
2020,6,CNG,68
2020,6,Diesel,5237
2020,6,Diesel Hybrid,461
2020,6,PHEV,3590
2020,6,Petrol,13795
2020,7,BEV,981
2020,7,CNG,58
2020,7,Diesel,5719
2020,7,Diesel Hybrid,480
2020,7,Hydrogen,4
2020,7,PHEV,3317
2020,7,Petrol,11882
2020,8,BEV,1625
2020,8,CNG,33
2020,8,Diesel,3688
2020,8,Diesel Hybrid,354
2020,8,Hydrogen,5
2020,8,PHEV,2760
2020,8,Petrol,7815
2020,9,BEV,2893
2020,9,CNG,20
2020,9,Diesel,4191
2020,9,Diesel Hybrid,459
2020,9,Hydrogen,3
2020,9,LPG,1
2020,9,PHEV,4093
2020,9,Petrol,9774
2020,10,BEV,1505
2020,10,CNG,32
2020,10,Diesel,4123
2020,10,Diesel Hybrid,660
2020,10,Hydrogen,4
2020,10,PHEV,4502
2020,10,Petrol,10214
2020,11,BEV,2199
2020,11,CNG,25
2020,11,Diesel,4855
2020,11,Diesel Hybrid,726
2020,11,Hydrogen,3
2020,11,PHEV,5135
2020,11,Petrol,9837
2020,12,BEV,4672
2020,12,CNG,24
2020,12,Diesel,5239
2020,12,Diesel Hybrid,906
2020,12,Hydrogen,4
2020,12,PHEV,6830
2020,12,Petrol,11646
2021,1,BEV,1050
2021,1,CNG,17
2021,1,Diesel,2850
2021,1,Diesel Hybrid,666
2021,1,Hydrogen,2
2021,1,PHEV,3815
2021,1,Petrol,7022
2021,2,BEV,1400
2021,2,CNG,21
2021,2,Diesel,2649
2021,2,Diesel Hybrid,649
2021,2,Hydrogen,3
2021,2,PHEV,4008
2021,2,Petrol,7490
2021,3,BEV,2326
2021,3,CNG,27
2021,3,Diesel,3934
2021,3,Diesel Hybrid,1121
2021,3,Hydrogen,10
2021,3,LPG,1
2021,3,PHEV,6061
2021,3,Petrol,11802
2021,4,BEV,1969
2021,4,CNG,29
2021,4,Diesel,3302
2021,4,Diesel Hybrid,954
2021,4,Hydrogen,5
2021,4,LPG,2
2021,4,PHEV,5802
2021,4,Petrol,9938
2021,5,BEV,1922
2021,5,CNG,24
2021,5,Diesel,3199
2021,5,Diesel Hybrid,833
2021,5,Hydrogen,2
2021,5,LPG,1
2021,5,PHEV,5139
2021,5,Petrol,8860
2021,6,BEV,3692
2021,6,CNG,29
2021,6,Diesel,3491
2021,6,Diesel Hybrid,1103
2021,6,Hydrogen,9
2021,6,PHEV,6599
2021,6,Petrol,11101
2021,7,BEV,1832
2021,7,CNG,12
2021,7,Diesel,2591
2021,7,Diesel Hybrid,920
2021,7,Hydrogen,9
2021,7,PHEV,5180
2021,7,Petrol,8701
2021,8,BEV,2248
2021,8,CNG,16
2021,8,Diesel,1918
2021,8,Diesel Hybrid,771
2021,8,Hydrogen,11
